sample_id,spike_train,clean_label,label,is_noisy,split
0,01001,0,0,False,train
1,11101,2,2,False,train
2,01011,1,1,False,train
3,11111,4,4,False,train
4,11010,1,1,False,train
5,01111,3,3,False,train
6,01000,0,0,False,train
7,10001,0,0,False,train
8,10000,0,0,False,train
9,10100,0,0,False,train
10,01110,2,2,False,train
11,01101,1,1,False,train
12,10011,1,1,False,train
13,11001,1,1,False,train
14,11110,3,3,False,train
15,00010,0,0,False,train
16,10010,0,0,False,train
17,10101,0,0,False,train
18,00011,1,1,False,train
19,00101,0,0,False,train
20,11100,2,2,False,train
21,00100,0,0,False,train
