sample_id,spike_train,clean_label,label,is_noisy,split
0,00100,1,1,False,train
1,01111,4,4,False,train
2,10100,2,2,False,train
3,01010,2,2,False,train
4,01110,3,3,False,train
5,00000,0,0,False,train
6,10010,2,2,False,train
7,11010,3,3,False,train
8,00010,1,1,False,train
9,01000,1,1,False,train
10,00011,2,2,False,train
11,00111,3,3,False,train
12,00110,2,2,False,train
13,11000,2,2,False,train
14,11100,3,3,False,train
15,11001,3,3,False,train
16,10000,1,1,False,train
17,00001,1,1,False,train
18,01101,3,3,False,train
19,10111,4,4,False,train
20,11111,5,5,False,train
21,01100,2,2,False,train
