sample_id,spike_train,clean_label,label,is_noisy,split
0,01000,4,4,False,train
1,11001,2,2,False,train
2,01011,2,2,False,train
3,01101,2,2,False,train
4,00100,4,4,False,train
5,00111,2,2,False,train
6,00101,3,3,False,train
7,10010,3,3,False,train
8,11000,3,3,False,train
9,10001,3,3,False,train
10,00000,5,5,False,train
11,01001,3,3,False,train
12,10000,4,4,False,train
13,11011,1,1,False,train
14,00001,4,4,False,train
15,01111,1,1,False,train
16,10101,2,2,False,train
17,01010,3,3,False,train
18,01110,2,2,False,train
19,01100,3,3,False,train
20,10100,3,3,False,train
21,00011,3,3,False,train
